"src","total_con","num_of_des","total_failed","des_list","id_list","con_per_des","success_to_fail_ratio"
"C17693",200,138,0,"C2388 C2846 C21946 C742 C4159 C2578 C2519 C395 C1015 C3437 C4845 C231 C14319 C1500 C3755 C801 C12320 C6513 C1784 C3422 C1006 C92 C1222 C11727 C2844 C12682 C1776 C754 C17776 C353 C13713 C21963 C883 C2597 C42 C18626 C1610 C19444 C2914 C1503 C17425 C89 C19156 C1710 C1183 C3153 C1944 C16467 C17806 C886 C126 C2944 C2079 C2648 C5653 C1797 C18113 C1215 C2609 C7503 C359 C3455 C12448 C3292 C881 C3435 C11178 C17860 C636 C9945 C798 C2669 C882 C706 C6487 C917 C11039 C2196 C9692 C20203 C10577 C1477 C1022 C5453 C17052 C853 C492 C1124 C8490 C765 C1966 C7131 C19803 C923 C1732 C3758 C1555 C3199 C46 C3305 C400 C583 C2012 C1611 C3586 C1014 C1191 C302 C21873 C7782 C7464 C2091 C20624 C19356 C633 C1028 C1089 C3521 C346 C779 C1616 C458 C1952 C7597 C90 C2816 C1438 C18872 C398 C3601 C513 C1119 C20455 C21664 C143 C1936 C3699 C2849","2222 4059 9092 2223 7685 2224 2225 2226 2227 2228 4073 4077 5891 2229 2249 2261 4074 9069 2230 2231 2232 2233 4082 7695 9101 2234 4063 5877 9078 2235 2236 2245 2237 4088 2238 2254 2239 2240 4090 5878 7689 7692 2241 2242 2243 4071 7711 7712 2244 2246 2247 2248 5901 2250 4089 2251 5905 2252 2253 4050 5869 5876 2255 2256 4075 2257 2258 2259 2260 7686 4049 4051 4052 4053 4096 4054 4055 4056 4057 4058 4060 4084 5890 7698 9083 4061 4062 4064 4065 7705 4066 9081 9091 4067 4068 4069 4070 7690 4072 4076 4078 4079 4080 5903 4081 4083 4085 5892 4086 4087 4091 5867 4092 7706 4093 4094 9099 4095 5894 7697 9075 4097 4098 5862 5863 5864 5866 5865 7691 5868 5871 5870 5872 5873 7704 5874 5875 5879 5880 5881 5886 5882 9084 9095 5883 5884 5885 5887 5888 5889 5893 7708 5895 5896 5897 5898 5899 5900 5902 5904 5906 9090 7687 7688 7693 7694 7696 7699 7700 7714 7701 7702 7703 7707 7709 7710 7713 9070 9071 9072 9073 9074 9103 9076 9077 9079 9080 9082 9085 9086 9087 9088 9089 9093 9094 9096 9097 9098 9100 9102",0.69,0
"C1798",115,105,0,"C14085 C13659 C1685 C4927 C2106 C586 C1256 C19614 C371 C1458 C8607 C10421 C13173 C1391 C15934 C5981 C15661 C1158 C13728 C17552 C277 C8350 C884 C5997 C2758 C11388 C2519 C1771 C7758 C8621 C12613 C20884 C20672 C7233 C528 C630 C8490 C13907 C21106 C529 C16373 C20193 C7804 C502 C351 C3542 C18542 C4631 C13314 C9774 C14001 C1000 C795 C10974 C12720 C20595 C10813 C19083 C1815 C20744 C625 C17776 C12168 C6733 C12281 C9666 C158 C8346 C14206 C8897 C9560 C10577 C8196 C1884 C7139 C1513 C1483 C612 C376 C695 C10960 C8073 C2146 C1900 C2506 C10136 C14601 C5396 C1054 C9683 C12036 C8745 C296 C467 C13343 C14072 C17092 C10798 C16352 C1322 C98 C1589 C5746 C5602 C3548","13 24 120 196 364 1143 374 8387 416 616 666 705 834 6086 902 1296 1319 1512 1518 1529 1535 1541 1616 1634 4993 1667 1668 1690 1781 1827 1928 2054 2124 2126 2383 2414 2434 2528 2538 4689 8210 2541 2581 2631 2975 2976 4111 6448 3102 3213 3313 3318 3422 3429 3517 3554 3593 3832 3889 3939 3973 4005 4143 4176 4241 4244 4441 4601 4634 4750 7311 4677 4693 4737 4756 4958 4985 5156 5174 5246 5293 5358 5384 5394 5411 5545 5655 5673 5722 5778 6335 6368 6622 6727 6781 7125 7138 7202 7220 7231 7372 7468 7748 7815 7826 7886 8151 8347 8507 8555 8784 8795 8951 9006 9036",0.91304347826087,0
"C1521",79,66,4,"C12951 C11035 C513 C9601 C467 C528 C3674 C20750 C625 C2035 C16835 C529 C854 C910 C6219 C9107 C320 C988 C1065 C9471 C586 C8429 C584 C15077 C19622 C1259 C9818 C19854 C12162 C31 C18428 C18165 C612 C14862 C8637 C5776 C17610 C13171 C19154 C16565 C131 C17249 C2521 C7221 C8236 C1183 C22037 C20980 C3148 C10474 C4106 C16336 C4118 C2057 C1156 C8198 C19329 C13489 C7185 C2725 C7726 C524 C489 C18341 C3541 C2506","4 49 56 132 152 930 267 8175 627 966 1050 5527 6928 9024 1278 1287 1384 2392 4989 5533 5543 5792 8867 1406 1463 1794 1858 1874 1976 1988 2220 8194 2409 2606 2718 2762 2930 3216 3406 3477 3685 3698 3842 3844 3845 6337 3911 4119 4219 4332 4385 4535 4553 4568 4708 4873 4980 5103 5434 5570 5728 6148 6450 6509 6526 6562 7185 7377 7644 7674 7838 8048 8064 8083 8135 8321 8456 8772 8815",0.835443037974684,0.0533333333333333
"C1618",60,14,0,"C988 C101 C553 C523 C586 C625 C467 C528 C1085 C1065 C612 C2106 C457 C529","137 464 688 729 3162 4979 7163 7661 8950 260 806 1219 2347 3273 5418 5843 6203 7589 7769 266 1613 3233 3657 3775 5038 6454 6542 7192 8446 671 842 2213 2957 4183 6058 6691 6853 7476 8738 822 846 3519 3988 877 1302 6499 1878 2031 2905 6407 2121 6910 2457 6126 3798 4351 6964 8011 4773 4981",0.233333333333333,0
"C1968",47,13,0,"C612 C101 C523 C1085 C586 C988 C1065 C529 C457 C553 C467 C528 C625","23 1497 1857 3665 5376 5617 7414 156 622 4726 5406 8790 159 476 6040 162 786 1778 4367 4908 6327 6889 7431 456 5479 1310 1989 7444 8204 1372 2309 4148 2479 2542 2884 2961 3128 3431 4389 4718 6348 7538 8113 8546 5217 5344 5383",0.276595744680851,0
"C574",50,12,0,"C988 C625 C529 C553 C101 C612 C457 C523 C1737 C1085 C2106 C528","48 218 421 733 975 1124 2869 3833 4770 4903 4962 5209 6805 7272 1021 2783 6334 8514 1270 8206 1824 2425 3556 8285 2508 3766 3920 4571 6466 6540 6822 8711 8809 8940 2627 8396 2652 6782 7666 2785 3444 4663 5490 5971 6362 7841 3991 4224 4418 5046",0.24,0
"C1619",44,12,0,"C625 C988 C553 C1065 C101 C523 C457 C586 C612 C529 C1085 C2106","242 719 1036 2352 8427 271 781 1001 2167 3192 5076 6376 8983 584 1206 1547 1913 3298 3870 4286 4866 4972 7285 7640 657 747 1853 2620 943 5207 5691 7882 8299 8667 1029 8183 1737 2145 5555 5569 5798 7006 8384 8744",0.272727272727273,0
"C1795",28,12,0,"C988 C529 C612 C1065 C467 C523 C457 C101 C1085 C553 C586 C528","415 1337 1621 1627 3040 5633 8773 9062 631 1636 3255 6632 1665 4460 1897 3043 5329 8107 3757 8661 3758 8095 4724 9003 5981 6129 6825 7682",0.428571428571429,0
"C1115",61,11,0,"C101 C457 C528 C553 C1085 C988 C529 C523 C586 C612 C467","118 1639 1701 2279 4313 5505 8455 8510 8712 224 1125 5325 5690 6635 8758 320 2862 539 740 2715 4938 5796 8148 569 948 1257 1334 1584 1684 1825 3038 5276 5678 6676 8753 8894 646 1830 2921 4010 4437 8223 8696 1502 8906 2838 2919 3531 3582 3591 3862 5356 6003 6084 7115 8541 5761 8672 7954 8371 8852",0.180327868852459,0
"C539",51,11,0,"C988 C1085 C528 C1065 C523 C101 C553 C586 C529 C467 C457","165 2195 2360 2950 6216 8624 457 996 2150 3288 4299 4392 5188 5226 6150 6321 6529 6922 7530 7856 1015 8724 1357 8150 1918 2086 3989 4504 7243 7798 7862 8058 1971 2621 3055 3091 3348 5745 6254 6678 7636 8243 8250 8985 2943 3356 3629 3897 4350 7532 6563",0.215686274509804,0
